# step           OCL           OBL   coupled_OBL uncoupled_OBL
   158          0.24          2.46          0.17          2.29
   159          0.24          2.76          0.31          2.46
   160          0.20          2.93          0.31          2.63
   161          0.34          2.83          0.27          2.56
   162          0.30          2.98          0.29          2.69
   163          0.29          3.05          0.37          2.68
   164          0.42          2.91          0.47          2.44
   165          0.39          3.05          0.49          2.56
   166          0.14          2.95          0.49          2.46
   167          0.15          2.79          0.49          2.30
   168          0.29          2.98          0.51          2.47
   169          0.32          2.84          0.54          2.30
   170          0.30          2.81          0.42          2.39
   171          0.17          2.86          0.39          2.47
   172          0.07          2.73          0.39          2.34
   173          0.34          2.78          0.44          2.34
   174          0.49          2.86          0.42          2.44
   175          0.56          2.78          0.42          2.35
   176          0.66          2.49          0.42          2.07
   177          0.66          2.51          0.42          2.08
   178          0.69          2.66          0.49          2.17
   179          0.51          2.66          0.49          2.17
   180          0.47          2.71          0.42          2.28
   181          0.61          2.86          0.49          2.37
   182          0.58          2.78          0.58          2.20
   183          0.63          2.71          0.64          2.07
   184          0.46          2.52          0.61          1.91
   185          0.46          2.78          0.64          2.13
   186          0.54          2.89          0.66          2.23
   187          0.66          3.20          0.80          2.40
   188          0.69          3.22          0.85          2.37
   189          0.86          2.96          0.81          2.15
   190          0.76          3.03          0.80          2.23
   191          0.64          3.05          0.83          2.22
   192          0.63          2.74          0.78          1.96
   193          0.56          2.66          0.80          1.86
   194          0.73          2.88          0.91          1.96
   195          0.78          2.99          1.12          1.88
   196          0.90          3.03          1.25          1.78
   197          1.15          3.08          1.35          1.73
   198          1.07          3.28          1.32          1.96
   199          1.29          3.32          1.18          2.13
   200          1.29          3.28          1.17          2.12
   201          1.15          3.45          1.27          2.18
   202          0.91          3.23          1.17          2.06
   203          0.91          3.27          1.24          2.03
   204          0.98          3.67          1.37          2.30
   205          1.02          3.96          1.42          2.54
   206          1.10          3.76          1.32          2.44
   207          1.08          3.37          1.24          2.13
   208          1.13          3.13          1.17          1.96
   209          0.68          3.51          1.27          2.24
   210          0.95          3.81          1.46          2.35
   211          0.93          3.71          1.53          2.19
   212          0.98          3.53          1.66          1.87
   213          1.14          3.34          1.64          1.70
   214          0.90          3.41          1.63          1.78
   215          0.80          3.61          1.81          1.80
   216          0.93          3.78          2.10          1.68
   217          1.22          3.87          2.26          1.61
   218          1.29          4.10          2.19          1.92
   219          1.19          4.04          2.07          1.97
   220          1.20          3.92          2.02          1.90
   221          1.22          4.20          2.25          1.95
   222          1.19          4.46          2.56          1.90
   223          1.27          4.48          2.54          1.93
   224          1.61          4.43          2.44          1.98
   225          1.59          4.14          2.27          1.87
   226          1.32          3.72          2.05          1.66
   227          1.32          3.90          2.29          1.61
   228          1.46          3.92          2.14          1.78
   229          1.51          3.92          2.15          1.76
   230          1.39          3.87          2.22          1.64
   231          1.36          4.27          2.34          1.93
   232          1.14          4.10          2.31          1.80
   233          1.27          3.95          2.58          1.37
   234          1.32          4.24          2.85          1.39
   235          1.76          4.36          2.83          1.53
   236          1.71          4.39          2.81          1.58
   237          1.43          4.16          2.73          1.43
   238          1.65          4.09          2.63          1.46
   239          1.82          4.34          2.78          1.56
   240          1.49          4.62          2.97          1.65
   241          1.55          4.96          3.31          1.65
   242          1.70          4.96          3.29          1.66
   243          1.78          4.87          3.28          1.60
   244          2.19          4.55          3.22          1.32
   245          1.97          4.63          3.24          1.39
   246          1.51          5.09          3.60          1.49
   247          1.60          5.02          3.58          1.44
   248          1.68          5.01          3.72          1.29
   249          1.78          4.91          3.52          1.39
   250          1.58          4.94          3.50          1.44
   251          1.36          5.35          3.75          1.60
   252          1.89          5.13          3.77          1.36
   253          2.06          4.99          3.86          1.14
   254          2.19          5.23          3.91          1.32
   255          1.90          5.15          3.82          1.32
   256          1.89          5.57          4.13          1.44
   257          1.61          5.95          4.47          1.48
   258          1.53          5.83          4.35          1.48
   259          1.49          5.78          4.38          1.39
   260          1.89          5.98          4.64          1.34
   261          1.85          6.41          4.94          1.46
   262          1.65          6.46          5.17          1.29
   263          2.14          5.92          4.88          1.04
   264          2.31          5.95          4.63          1.33
   265          1.85          6.50          4.87          1.63
   266          1.26          7.30          5.34          1.96
   267          0.61          7.62          5.46          2.16
   268          0.34          8.06          5.60          2.47
   269          0.09          8.20          5.66          2.53
   270          0.03          7.74          5.46          2.28
   271          0.00          7.45          5.24          2.21
   272          0.00          7.70          5.49          2.21
   273          0.00          7.88          5.67          2.21
   274          0.00          7.76          5.54          2.22
   275          0.00          7.61          5.25          2.36
   276          0.00          7.39          5.09          2.29
   277          0.00          7.27          4.92          2.34
   278          0.00          6.94          4.84          2.11
   279          0.00          6.93          4.72          2.21
   280          0.00          6.84          4.72          2.12
   281          0.00          6.53          4.53          2.00
   282          0.00          6.80          4.28          2.53
   283          0.00          6.48          3.94          2.54
   284          0.00          5.90          3.51          2.39
   285          0.00          6.02          3.51          2.51
   286          0.00          5.50          3.14          2.36
   287          0.00          5.14          2.89          2.26
   288          0.00          5.01          2.60          2.41
   289          0.00          5.16          2.36          2.80
   290          0.00          4.96          2.24          2.72
   291          0.00          4.48          2.06          2.43
   292          0.00          4.47          2.02          2.45
   293          0.00          4.26          1.85          2.41
   294          0.00          3.60          1.39          2.21
   295          0.00          3.43          1.21          2.23
   296          0.00          3.70          1.44          2.26
   297          0.00          3.69          1.27          2.41
   298          0.00          3.26          0.88          2.38
   299          0.00          3.72          0.87          2.85
   300          0.00          3.86          0.85          3.01
   301          0.00          3.31          0.82          2.50
   302          0.00          2.80          0.56          2.24
   303          0.00          3.11          0.49          2.62
   304          0.00          3.28          0.51          2.77
   305          0.00          3.18          0.48          2.70
   306          0.00          3.18          0.49          2.68
   307          0.00          2.80          0.42          2.38
   308          0.00          3.14          0.58          2.56
   309          0.00          3.14          0.51          2.63
   310          0.00          3.11          0.39          2.72
   311          0.00          2.99          0.39          2.60
   312          0.00          3.07          0.29          2.78
   313          0.00          3.23          0.31          2.92
   314          0.00          2.87          0.36          2.51
   315          0.00          2.83          0.27          2.56
   316          0.00          2.97          0.32          2.65
   317          0.00          2.87          0.29          2.58
   318          0.00          2.95          0.22          2.73
   319          0.00          2.99          0.25          2.73
   320          0.00          2.65          0.34          2.31
   321          0.00          2.67          0.32          2.34
   322          0.00          2.65          0.17          2.48
   323          0.00          2.73          0.10          2.63
   324          0.00          2.80          0.17          2.63
   325          0.00          2.73          0.20          2.53
   326          0.00          3.04          0.22          2.82
   327          0.00          2.84          0.22          2.62
   328          0.00          2.70          0.15          2.55
   329          0.00          2.62          0.17          2.45
   330          0.00          2.63          0.19          2.45
   331          0.00          2.51          0.19          2.33
   332          0.00          2.45          0.12          2.33
   333          0.00          2.72          0.12          2.60
   334          0.00          2.53          0.14          2.39
   335          0.00          2.65          0.08          2.56
   336          0.07          2.73          0.08          2.65
   337          0.07          2.55          0.07          2.48
   338          0.07          2.77          0.10          2.66
   339          0.00          2.76          0.14          2.63
   340          0.00          2.39          0.14          2.26
   341          0.00          2.26          0.07          2.19
   342          0.00          2.43          0.05          2.37
   343          0.00          2.48          0.10          2.37
   344          0.00          2.80          0.10          2.70
   345          0.00          3.04          0.08          2.95
   346          0.00          2.67          0.03          2.63
   347          0.05          2.46          0.08          2.38
   348          0.05          2.65          0.08          2.56
   349          0.00          2.63          0.02          2.62
   350          0.00          2.48          0.00          2.48
   351          0.00          2.43          0.05          2.38
   352          0.00          2.53          0.12          2.41
   353          0.08          2.31          0.10          2.21
   354          0.08          2.43          0.07          2.36
   355          0.07          2.56          0.08          2.48
   356          0.12          2.43          0.05          2.38
   357          0.12          2.26          0.08          2.17
   358          0.07          2.19          0.10          2.09
   359          0.07          2.51          0.05          2.46
   360          0.07          2.57          0.05          2.51
   361          0.07          2.60          0.08          2.51
   362          0.15          2.55          0.08          2.46
   363          0.20          2.17          0.02          2.16
   364          0.07          2.29          0.07          2.22
   365          0.07          2.67          0.10          2.56
   366          0.07          2.60          0.12          2.48
   367          0.14          2.46          0.14          2.33
   368          0.14          2.46          0.17          2.29
   369          0.24          2.48          0.15          2.33
   370          0.17          2.45          0.14          2.31
   371          0.00          2.41          0.12          2.29
   372          0.25          2.29          0.12          2.17
   373          0.34          2.46          0.12          2.35
   374          0.29          2.53          0.15          2.38
   375          0.25          2.50          0.15          2.34
   376          0.20          2.63          0.08          2.55
   377          0.24          2.57          0.12          2.45
   378          0.20          2.45          0.20          2.24
   379          0.48          2.40          0.22          2.18
   380          0.43          2.58          0.22          2.36
   381          0.54          2.36          0.17          2.19
   382          0.34          2.50          0.22          2.28
   383          0.36          2.52          0.24          2.28
   384          0.41          2.60          0.24          2.36
   385          0.34          2.84          0.32          2.52
   386          0.26          2.81          0.36          2.45
   387          0.26          2.70          0.39          2.31
   388          0.34          2.50          0.32          2.18
   389          0.32          2.79          0.39          2.40
   390          0.32          2.81          0.44          2.36
   391          0.39          2.64          0.48          2.16
   392          0.54          2.74          0.49          2.24
   393          0.61          2.70          0.48          2.23
   394          0.68          2.53          0.54          1.99
   395          0.78          2.48          0.61          1.87
   396          0.71          2.53          0.58          1.96
   397          0.83          2.67          0.68          1.99
   398          1.00          2.81          0.71          2.09
   399          1.31          2.77          0.82          1.96
   400          1.16          2.96          0.70          2.26
   401          1.16          3.04          0.61          2.43
   402          0.85          2.88          0.70          2.18
   403          0.85          2.89          0.70          2.19
   404          0.83          2.74          0.77          1.97
   405          0.87          2.75          0.83          1.92
   406          0.70          2.74          0.92          1.82
   407          0.42          2.82          0.92          1.90
   408          0.63          3.03          1.04          1.99
   409          0.68          3.08          1.17          1.90
   410          0.44          3.38          1.31          2.07
   411          0.56          3.47          1.36          2.11
   412          0.83          3.45          1.58          1.87
   413          1.00          3.45          1.48          1.97
   414          1.00          3.49          1.55          1.94
   415          1.17          3.40          1.62          1.79
   416          1.26          3.37          1.63          1.74
   417          0.90          3.52          1.65          1.87
